,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
0,0,0,2000,160098012,DISORDERLY CONDUCT,DISTURBING THE PEACE,Tuesday,02/02/2016 12:00:00 AM,20:30,TENDERLOIN,"ARREST, BOOKED",GEARY ST / POWELL ST,-122.408231026261,37.787359494956,"(37.787359494956, -122.408231026261)",16009801219022
1,1,1,2001,160098034,ASSAULT,THREATENING PHONE CALL(S),Tuesday,02/02/2016 12:00:00 AM,18:55,PARK,NONE,1500 Block of TURK ST,-122.434631237377,37.7802343955112,"(37.7802343955112, -122.434631237377)",16009803419055
2,2,2,2002,160098040,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,02/02/2016 12:00:00 AM,22:00,SOUTHERN,"ARREST, BOOKED",4TH ST / HOWARD ST,-122.402712593282,37.7832596543979,"(37.7832596543979, -122.402712593282)",16009804065016
3,3,3,2003,160111595,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/07/2016 12:00:00 AM,06:30,TARAVAL,NONE,100 Block of BRIGHTON AV,-122.455053673215,37.7209597725258,"(37.7209597725258, -122.455053673215)",16011159507021
4,4,4,2004,160111608,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,02/07/2016 12:00:00 AM,09:00,BAYVIEW,NONE,0 Block of FELTON ST,-122.405078838208,37.7298522523977,"(37.7298522523977, -122.405078838208)",16011160806244
5,5,5,2005,160098056,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,02/02/2016 12:00:00 AM,22:15,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.407633520742,37.7841893501425,"(37.7841893501425, -122.407633520742)",16009805606362
6,6,6,2006,160098169,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,02/02/2016 12:00:00 AM,21:50,SOUTHERN,"ARREST, BOOKED",12TH ST / KISSLING ST,-122.416185338744,37.771411026194,"(37.771411026194, -122.416185338744)",16009816916650
7,7,7,2007,160098169,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,02/02/2016 12:00:00 AM,21:50,SOUTHERN,"ARREST, BOOKED",12TH ST / KISSLING ST,-122.416185338744,37.771411026194,"(37.771411026194, -122.416185338744)",16009816926150
8,8,8,2008,160098169,OTHER OFFENSES,PROBATION VIOLATION,Tuesday,02/02/2016 12:00:00 AM,21:50,SOUTHERN,"ARREST, BOOKED",12TH ST / KISSLING ST,-122.416185338744,37.771411026194,"(37.771411026194, -122.416185338744)",16009816926170
9,9,9,2009,160098175,NON-CRIMINAL,FOUND PROPERTY,Tuesday,02/02/2016 12:00:00 AM,08:30,CENTRAL,NONE,500 Block of BUSH ST,-122.405941469147,37.7904631779771,"(37.7904631779771, -122.405941469147)",16009817572000
10,10,10,2010,160098181,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,02/02/2016 12:00:00 AM,22:50,INGLESIDE,"ARREST, BOOKED",BRAZIL AV / MOSCOW ST,-122.427646116471,37.7212574331966,"(37.7212574331966, -122.427646116471)",16009818165015
11,11,11,2011,160098197,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Tuesday,02/02/2016 12:00:00 AM,22:32,SOUTHERN,NONE,1000 Block of NATOMA ST,-122.416569284944,37.773202918455,"(37.773202918455, -122.416569284944)",16009819773000
12,12,12,2012,160098200,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Tuesday,02/02/2016 12:00:00 AM,15:00,TARAVAL,NONE,700 Block of GONZALEZ DR,-122.480606348865,37.7175185873081,"(37.7175185873081, -122.480606348865)",16009820005071
13,13,13,2013,160039981,ASSAULT,BATTERY WITH SERIOUS INJURIES,Thursday,01/14/2016 12:00:00 AM,23:45,CENTRAL,NONE,0 Block of DRUMM ST,-122.396421943768,37.7941447423704,"(37.7941447423704, -122.396421943768)",16003998104136
14,14,14,2014,160039997,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,01/15/2016 12:00:00 AM,01:45,RICHMOND,NONE,3900 Block of GEARY BL,-122.461620169101,37.7812597610597,"(37.7812597610597, -122.461620169101)",16003999706113
